context,question,gold,category,predicted,exact_match,numeric_faithful,hybrid_f1
"Figure S1.1.2 Even though eight economies in Sub-Saharan Africa have low rates of ID ownership, average rates among both women and men exceed 70 percent in all four subregions Adults with ID (%), 2024 30 20 10 0 70 80 90 60 50 40 Central Africa Women Men East Africa Women Men Southern Africa Women Men West Africa Women Men Source: Identification for Development (ID4D)–Global Findex Database 2025. Identification, digital connectivity, and financial inclusion 71 Figure S1.1.3 Five of the economies in Sub-Saharan Africa with low rates of ID ownership also have large gender gaps in those rates 4 Respondents were able to choose multiple responses to the survey question. Adults with ID (%), 2024 0 20 30 10 40 50 60 70 Niger Sierra Leone Tanzania Togo Uganda Women Men Women Men Women Men Women Men Women Men Mozambique Women Men Guinea Women Men Congo, Rep.","True or False: Based on the provided text, Identification, digital connectivity, and financial inclusion 71 Figure S1.1.3 Five of the economies in Sub-Saharan Africa with low rates of ID ownership also have large gender gaps in those rates 4 Respondents were able to choose multiple responses to the survey question.",True,Knowledge - Fact Verification,True,1,,1.0
"In Uganda, about half of adults without ID report having this difficulty. This aligns with Global Findex 2025 data showing that 15 percent of adults without an account in Sub-Saharan Africa do not have a mobile money account because they lack the documentation they would need to open one. Finally, some adults without ID say that they have had problems accessing government support, applying for jobs, or accessing medical care.","According to the text, fill in the blank: This aligns with Global Findex 2025 data showing that ___ of adults without an account in Sub-Saharan Africa do not have a mobile money account because they lack the documentation they would need to open one.?",15 percent,Knowledge - Statistics,15 percent,1,1.0,1.0
"77 SECTION 2 Financial access 2.1 Account ownership 2.2 Expanding access to financial accounts References A reproducibility package is available for this book in the Reproducible Research Repository at https://reproducibility.worldbank.org/catalog/299. GLOBALLY, UNLESS OTHERWISE NOTED Global Findex 2025 Financial Access 79% OF ADULTS HAVE AN ACCOUNT. That’s an increase of 28 percentage points since 2011.","According to the text, fill in the blank: GLOBALLY, UNLESS OTHERWISE NOTED Global Findex 2025 Financial Access ___ OF ADULTS HAVE AN ACCOUNT.?",79%,Knowledge - Statistics,79%,1,1.0,1.0
"That’s an increase of 28 percentage points since 2011. 75% OF ADULTS IN LOWAND MIDDLE-INCOME ECONOMIES HAVE ACCOUNTS. 77% of women have an account, narrowing the global gender gap to 4 percentage points.","According to the text, fill in the blank: ___ OF ADULTS IN LOWAND MIDDLE-INCOME ECONOMIES HAVE ACCOUNTS.?",75%,Knowledge - Statistics,75%,1,1.0,1.0
"75% OF ADULTS IN LOWAND MIDDLE-INCOME ECONOMIES HAVE ACCOUNTS. 77% of women have an account, narrowing the global gender gap to 4 percentage points. Over half of all adults in lowand middle-income economies now make payments from an account using a mobile phone or card.","According to the text, fill in the blank: ___ of women have an account, narrowing the global gender gap to 4 percentage points.?",77%,Knowledge - Statistics,77%,1,1.0,1.0
"77% of women have an account, narrowing the global gender gap to 4 percentage points. Over half of all adults in lowand middle-income economies now make payments from an account using a mobile phone or card. MOBILE MONEY ACCOUNTS HAVE SPREAD WORLDWIDE.","True or False: Based on the provided text, Over half of all adults in lowand middle-income economies now make payments from an account using a mobile phone or card.",True,Knowledge - Fact Verification,True,1,,1.0
IN SUB-SAHARAN AFRICA AND LATIN AMERICA AND THE CARIBBEAN: Around 40% of adults have mobile money. angles-down Poorer adults are still 11 percentage points less likely than wealthier adults to have an account. 1.3 billion adults worldwide still lack accounts.,"According to the text, fill in the blank: angles-down Poorer adults are still ___age points less likely than wealthier adults to have an account.?",11 percent,Knowledge - Statistics,11,1,1.0,1.0
"650 MILLION OF THEM LIVE IN JUST EIGHT ECONOMIES. Adults without accounts who own a mobile phone, basic ID, and a SIM card registered in their name have the foundations for account ownership. THERE ARE 80 MILLION OF THEM IN SUB-SAHARAN AFRICA ALONE.","True or False: Based on the provided text, Adults without accounts who own a mobile phone, basic ID, and a SIM card registered in their name have the foundations for account ownership.",True,Knowledge - Fact Verification,True,1,,1.0
"They provide people with a safe way to store money and build savings for the future; they also help them make and receive payments or receive loan disbursements. Account ownership is associated with multiple positive development outcomes for both account owners and the broader economy, including increased consumption,1 reduced poverty,2 elevated productivity,3 higher savings levels,4 and greater ability to share resources.5 Worldwide, 79 percent of adults have an account either at a bank or similar financial institution such as a credit union, microfinance institution, or post office or through a mobile money provider (refer to box 2.1.1). Rates of account ownership vary widely across economies, however (refer to map 2.1.1).","According to the text, fill in the blank: Account ownership is associated with multiple positive development outcomes for both account owners and the broader economy, including increased consumption,1 reduced poverty,2 elevated productivity,3 higher savings levels,4 and greater ability to share resources.5 Worldwide, ___ of adults have an account either at a bank or similar financial institution such as a credit union, microfinance institution, or post office or through a mobile money provider (refer to box 2.1.1).?",79 percent,Knowledge - Statistics,79 percent,1,1.0,1.0
"Account ownership is associated with multiple positive development outcomes for both account owners and the broader economy, including increased consumption,1 reduced poverty,2 elevated productivity,3 higher savings levels,4 and greater ability to share resources.5 Worldwide, 79 percent of adults have an account either at a bank or similar financial institution such as a credit union, microfinance institution, or post office or through a mobile money provider (refer to box 2.1.1). Rates of account ownership vary widely across economies, however (refer to map 2.1.1). Among the 139 economies included in Global Findex 2025, account ownership ranges from just 15 percent in Niger, a low-income and fragile and conflict-affected economy, to universal in such highincome economies as Canada, Japan, and the Netherlands.","True or False: Based on the provided text, Rates of account ownership vary widely across economies, however (refer to map 2.1.1).",True,Knowledge - Fact Verification,True,1,,1.0
"Rates of account ownership vary widely across economies, however (refer to map 2.1.1). Among the 139 economies included in Global Findex 2025, account ownership ranges from just 15 percent in Niger, a low-income and fragile and conflict-affected economy, to universal in such highincome economies as Canada, Japan, and the Netherlands. Box 2.1.1 Account ownership defined Global Findex 2025 defines “account ownership” as having an account at a bank or similar institution such as a credit union, microfinance institution, or post office, or with a mobile money provider that is included in the GSMA’s Mobile Money Deployment Tracker.a Owners can use these accounts at a minimum to store money and to send and receive payments.","According to the text, fill in the blank: Among the 139 economies included in Global Findex 2025, account ownership ranges from just ___ in Niger, a low-income and fragile and conflict-affected economy, to universal in such highincome economies as Canada, Japan, and the Netherlands.?",15 percent,Knowledge - Statistics,15,1,1.0,1.0
"The total account ownership rate includes respondents who said no when asked if they had an account or debit card yet also reported that they had received wages, government transfers, public sector pensions, or payments for the sale of agricultural products in an account in the preceding 12 months or that they had paid utility bills directly from an account at a bank or similar financial institution in the preceding 12 months. Among lowand middle-income economies, this adds 2 percent of respondents to the share of adults with an account; each of these respondents is added to the share of adults with the type of account they say they used to receive or make the relevant payment (that is, an account at a bank or similar financial institution or a mobile money account). For most high-income economies and the Russian Federation, the Global Findex 2025 included only questions on account ownership, not questions that resulted in these additions.","According to the text, fill in the blank: Among lowand middle-income economies, this adds ___ of respondents to the share of adults with an account; each of these respondents is added to the share of adults with the type of account they say they used to receive or make the relevant payment (that is, an account at a bank or similar financial institution or a mobile money account).?",2 percent,Knowledge - Statistics,2 percent,1,1.0,1.0
"Among lowand middle-income economies, this adds 2 percent of respondents to the share of adults with an account; each of these respondents is added to the share of adults with the type of account they say they used to receive or make the relevant payment (that is, an account at a bank or similar financial institution or a mobile money account). For most high-income economies and the Russian Federation, the Global Findex 2025 included only questions on account ownership, not questions that resulted in these additions. In Algeria, China, the Islamic Republic of Iran, Libya, Mauritius, and Ukraine, an abridged form of the questionnaire was administered by phone.","True or False: Based on the provided text, For most high-income economies and the Russian Federation, the Global Findex 2025 included only questions on account ownership, not questions that resulted in these additions.",True,Knowledge - Fact Verification,True,1,,1.0
"The data show significant differences in account ownership rates across economies in the same income group (refer to figure 2.1.1). For example, among low-income economies, account ownership ranges from 15 percent in Niger to 73 percent in Uganda. Among high-income economies, Panama has the lowest account ownership rate, at 64 percent.","According to the text, fill in the blank: For example, among low-income economies, account ownership ranges from ___ in Niger to 73 percent in Uganda.?",15 percent,Knowledge - Statistics,15 percent,1,1.0,1.0
"For example, among low-income economies, account ownership ranges from 15 percent in Niger to 73 percent in Uganda. Among high-income economies, Panama has the lowest account ownership rate, at 64 percent. Thailand has the highest account ownership rate among uppermiddle-income economies, at 92 percent.","According to the text, fill in the blank: Among high-income economies, Panama has the lowest account ownership rate, at ___.?",64 percent,Knowledge - Statistics,64 percent,1,1.0,1.0
"Among high-income economies, Panama has the lowest account ownership rate, at 64 percent. Thailand has the highest account ownership rate among uppermiddle-income economies, at 92 percent. In lower-middle-income economies, account ownership ranges from 23 percent in Lebanon to 98 percent in Mongolia.6 86 The Global Findex Database 2025 Account ownership increased by 28 percentage points, or more than 50 percent, worldwide between 2011 and 2024 In 2024, the global account ownership rate stood at 79 percent, a 28 percentage point increase from the worldwide average of 51 percent in 2011, when the first round of Global Findex data was collected (refer to figure 2.1.2).","According to the text, fill in the blank: Thailand has the highest account ownership rate among uppermiddle-income economies, at ___.?",92 percent,Knowledge - Statistics,92 percent,1,1.0,1.0
"Thailand has the highest account ownership rate among uppermiddle-income economies, at 92 percent. In lower-middle-income economies, account ownership ranges from 23 percent in Lebanon to 98 percent in Mongolia.6 86 The Global Findex Database 2025 Account ownership increased by 28 percentage points, or more than 50 percent, worldwide between 2011 and 2024 In 2024, the global account ownership rate stood at 79 percent, a 28 percentage point increase from the worldwide average of 51 percent in 2011, when the first round of Global Findex data was collected (refer to figure 2.1.2). Account ownership increased in both high-income and lowand middle-income economies, but the average growth rate in the latter group of economies was steeper.","According to the text, fill in the blank: In lower-middle-income economies, account ownership ranges from ___ in Lebanon to 98 percent in Mongolia.6 86 The Global Findex Database 2025 Account ownership increased by 28 percentage points, or more than 50 percent, worldwide between 2011 and 2024 In 2024, the global account ownership rate stood at 79 percent, a 28 percentage point increase from the worldwide average of 51 percent in 2011, when the first round of Global Findex data was collected (refer to figure 2.1.2).?",23 percent,Knowledge - Statistics,23,1,1.0,1.0
"In lower-middle-income economies, account ownership ranges from 23 percent in Lebanon to 98 percent in Mongolia.6 86 The Global Findex Database 2025 Account ownership increased by 28 percentage points, or more than 50 percent, worldwide between 2011 and 2024 In 2024, the global account ownership rate stood at 79 percent, a 28 percentage point increase from the worldwide average of 51 percent in 2011, when the first round of Global Findex data was collected (refer to figure 2.1.2). Account ownership increased in both high-income and lowand middle-income economies, but the average growth rate in the latter group of economies was steeper. Account ownership is nearly universal in most high-income economies, yet nevertheless increased for this group by 7 percentage points, from 87 percent in 2011 to 95 percent in 2024.7 In lowand middle-income economies, account ownership grew by 34 percentage points, from 42 percent in 2011 to 75 percent in 2024, an 80 percent increase.","True or False: Based on the provided text, Account ownership increased in both high-income and lowand middle-income economies, but the average growth rate in the latter group of economies was steeper.",True,Knowledge - Fact Verification,True,1,,1.0
"Account ownership increased in both high-income and lowand middle-income economies, but the average growth rate in the latter group of economies was steeper. Account ownership is nearly universal in most high-income economies, yet nevertheless increased for this group by 7 percentage points, from 87 percent in 2011 to 95 percent in 2024.7 In lowand middle-income economies, account ownership grew by 34 percentage points, from 42 percent in 2011 to 75 percent in 2024, an 80 percent increase. Despite the large increase overall, account ownership grew at different rates in individual economies between 2011 and 2024 (refer to figure 2.1.3).","According to the text, fill in the blank: Account ownership is nearly universal in most high-income economies, yet nevertheless increased for this group by ___age points, from 8___ in 2011 to 95 percent in 2024.7 In lowand middle-income economies, account ownership grew by 34 percentage points, from 42 percent in 2011 to 75 percent in 2024, an 80 percent increase.?",7 percent,Knowledge - Statistics,7,1,1.0,1.0
"Account ownership is nearly universal in most high-income economies, yet nevertheless increased for this group by 7 percentage points, from 87 percent in 2011 to 95 percent in 2024.7 In lowand middle-income economies, account ownership grew by 34 percentage points, from 42 percent in 2011 to 75 percent in 2024, an 80 percent increase. Despite the large increase overall, account ownership grew at different rates in individual economies between 2011 and 2024 (refer to figure 2.1.3). For instance, it grew by about 70 percentage points in both the Kyrgyz Republic and Senegal over this period.","True or False: Based on the provided text, Despite the large increase overall, account ownership grew at different rates in individual economies between 2011 and 2024 (refer to figure 2.1.3).",True,Knowledge - Fact Verification,True,1,,1.0
"This is twice the average increase for lowand middle-income economies and by far the largest increase among economies in this income group, albeit from 2011 account ownership percentages in the single digits. Account ownership increased by more than 50 percentage points in Armenia, Uganda, and Zambia, from about 20 percent in 2011 to just over 70 percent in 2024. In Ghana and India, account ownership similarly grew by more than 50 percentage points, reaching 81 percent in the former and 89 percent in the latter.","According to the text, fill in the blank: Account ownership increased by more than ___age points in Armenia, Uganda, and Zambia, from about 20 percent in 2011 to just over 70 percent in 2024.?",50 percent,Knowledge - Statistics,50,1,1.0,1.0
"Account ownership increased by more than 50 percentage points in Armenia, Uganda, and Zambia, from about 20 percent in 2011 to just over 70 percent in 2024. In Ghana and India, account ownership similarly grew by more than 50 percentage points, reaching 81 percent in the former and 89 percent in the latter. Account ownership rates also increased to more than 80 percent in additional economies, including Argentina, Kazakhstan, and Kenya.","According to the text, fill in the blank: In Ghana and India, account ownership similarly grew by more than ___age points, reaching 81 percent in the former and 89 percent in the latter.?",50 percent,Knowledge - Statistics,50,1,1.0,1.0
"In Ghana and India, account ownership similarly grew by more than 50 percentage points, reaching 81 percent in the former and 89 percent in the latter. Account ownership rates also increased to more than 80 percent in additional economies, including Argentina, Kazakhstan, and Kenya. 7 The Global Findex reports data as whole percentage points, although it calculates that whole based on rounding up or down from the tenths place.","According to the text, fill in the blank: Account ownership rates also increased to more than ___ in additional economies, including Argentina, Kazakhstan, and Kenya.?",80 percent,Knowledge - Statistics,80,1,1.0,1.0
"As such, any discrepancies between the reported size of a gap and the difference between its end points is due to rounding. Figure 2.1.2 Global account ownership increased from 51 percent to 79 percent between 2011 and 2024 Adults with an account (%), 2011–24 80 70 60 50 40 30 20 10 0 100 90 2011 2014 2017 2021 2024 Lowand middle-income economies High-income economies World Source: Global Findex Database 2025. Account ownership 87 Other economies, however, experienced much smaller increases.","According to the text, fill in the blank: Figure 2.1.2 Global account ownership increased from ___ to 79 percent between 2011 and 2024 Adults with an account (%), 2011–24 80 70 60 50 40 30 20 10 0 100 90 2011 2014 2017 2021 2024 Lowand middle-income economies High-income economies World Source: Global Findex Database 2025.?",51 percent,Knowledge - Statistics,51,1,1.0,1.0
"Figure 2.1.2 Global account ownership increased from 51 percent to 79 percent between 2011 and 2024 Adults with an account (%), 2011–24 80 70 60 50 40 30 20 10 0 100 90 2011 2014 2017 2021 2024 Lowand middle-income economies High-income economies World Source: Global Findex Database 2025. Account ownership 87 Other economies, however, experienced much smaller increases. In 16 economies that were at or below the global average of 51 percent in 2011, account ownership grew by 20 percentage points or less between 2011 and 2024.","True or False: Based on the provided text, Account ownership 87 Other economies, however, experienced much smaller increases.",True,Knowledge - Fact Verification,True,1,,1.0
"Account ownership 87 Other economies, however, experienced much smaller increases. In 16 economies that were at or below the global average of 51 percent in 2011, account ownership grew by 20 percentage points or less between 2011 and 2024. This includes six economies in which it grew by 10 percentage points or less.","According to the text, fill in the blank: In 16 economies that were at or below the global average of ___ in 2011, account ownership grew by 20 percentage points or less between 2011 and 2024.?",51 percent,Knowledge - Statistics,51 percent,1,1.0,1.0
"This includes six economies in which it grew by 10 percentage points or less. Figure 2.1.3 Account ownership has increased dramatically over time Adults with an account (%), 2011–24 a. East Asia and Pacific Cambodia China Indonesia Lao PDR Malaysia Mongolia Philippines Thailand Viet Nam 0 10 20 30 40 50 60 70 80 90 100 b.","True or False: Based on the provided text, Figure 2.1.3 Account ownership has increased dramatically over time Adults with an account (%), 2011–24 a.",True,Knowledge - Fact Verification,True,1,,1.0
"Latin America and the Caribbean Venezuela, RB Peru Paraguay Nicaragua Mexico Honduras Guatemala El Salvador Ecuador Dominican Republic Costa Rica Colombia Brazil Bolivia Belize* Argentina d. Middle East and North Africa 0 10 20 30 40 50 60 70 80 90 100 West Bank and Gaza Tunisia* Morocco** Libya** Lebanon Jordan Iraq Iran, Islamic Rep. South Asia 0 10 20 30 40 50 60 70 80 90 100 Sri Lanka Pakistan Nepal India Bangladesh 2024 2011 Figure 2.1.3 Account ownership has increased dramatically over time (continued) (Figure continued next page) Account ownership 89 0 10 20 30 40 50 60 70 80 90 100 f.","True or False: Based on the provided text, Middle East and North Africa 0 10 20 30 40 50 60 70 80 90 100 West Bank and Gaza Tunisia* Morocco** Libya** Lebanon Jordan Iraq Iran, Islamic Rep.",True,Knowledge - Fact Verification,False,0,,0.0
"SAR = special administrative region. Figure 2.1.3 Account ownership has increased dramatically over time (continued) Account ownership 91 More recently, between 2021 and 2024, the Kyrgyz Republic, Senegal, and Zambia each experienced account ownership increases of more than 20 percentage points. An additional 18 economies also experienced double-digit increases in account ownership, each gaining between 10 and 20 percentage points during this period: Argentina, Armenia, Azerbaijan, Burkina Faso, the Comoros, the Democratic Republic of Congo, the Dominican Republic, the Arab Republic of Egypt, Ghana, India, Iraq, Kenya, Mali, Nigeria, Panama, Tajikistan, Uzbekistan, and Viet Nam.","According to the text, fill in the blank: Figure 2.1.3 Account ownership has increased dramatically over time (continued) Account ownership 91 More recently, between 2021 and 2024, the Kyrgyz Republic, Senegal, and Zambia each experienced account ownership increases of more than ___age points.?",20 percent,Knowledge - Statistics,20,1,1.0,1.0
"Figure 2.1.3 Account ownership has increased dramatically over time (continued) Account ownership 91 More recently, between 2021 and 2024, the Kyrgyz Republic, Senegal, and Zambia each experienced account ownership increases of more than 20 percentage points. An additional 18 economies also experienced double-digit increases in account ownership, each gaining between 10 and 20 percentage points during this period: Argentina, Armenia, Azerbaijan, Burkina Faso, the Comoros, the Democratic Republic of Congo, the Dominican Republic, the Arab Republic of Egypt, Ghana, India, Iraq, Kenya, Mali, Nigeria, Panama, Tajikistan, Uzbekistan, and Viet Nam. Mobile money has spread from Sub-Saharan Africa around the world and increased total account ownership Motivated by the growing impact of mobile money on financial inclusion, since 2014 the Global Findex survey has asked respondents about their use of mobile money services, in addition to their use of accounts at a bank or similar financial institution (refer to map 2.1.2).","According to the text, fill in the blank: An additional 18 economies also experienced double-digit increases in account ownership, each gaining between 10 and ___age points during this period: Argentina, Armenia, Azerbaijan, Burkina Faso, the Comoros, the Democratic Republic of Congo, the Dominican Republic, the Arab Republic of Egypt, Ghana, India, Iraq, Kenya, Mali, Nigeria, Panama, Tajikistan, Uzbekistan, and Viet Nam.?",20 percent,Knowledge - Statistics,20,1,1.0,1.0
"An additional 18 economies also experienced double-digit increases in account ownership, each gaining between 10 and 20 percentage points during this period: Argentina, Armenia, Azerbaijan, Burkina Faso, the Comoros, the Democratic Republic of Congo, the Dominican Republic, the Arab Republic of Egypt, Ghana, India, Iraq, Kenya, Mali, Nigeria, Panama, Tajikistan, Uzbekistan, and Viet Nam. Mobile money has spread from Sub-Saharan Africa around the world and increased total account ownership Motivated by the growing impact of mobile money on financial inclusion, since 2014 the Global Findex survey has asked respondents about their use of mobile money services, in addition to their use of accounts at a bank or similar financial institution (refer to map 2.1.2). In 2014, just 2 percent of adults globally had a mobile money account.","True or False: Based on the provided text, Mobile money has spread from Sub-Saharan Africa around the world and increased total account ownership Motivated by the growing impact of mobile money on financial inclusion, since 2014 the Global Findex survey has asked respondents about their use of mobile money services, in addition to their use of accounts at a bank or similar financial institution (refer to map 2.1.2).",True,Knowledge - Fact Verification,True,1,,1.0
"Mobile money has spread from Sub-Saharan Africa around the world and increased total account ownership Motivated by the growing impact of mobile money on financial inclusion, since 2014 the Global Findex survey has asked respondents about their use of mobile money services, in addition to their use of accounts at a bank or similar financial institution (refer to map 2.1.2). In 2014, just 2 percent of adults globally had a mobile money account. As of 2024, that share had increased to 15 percent globally and 18 percent in lowand middle-income economies (refer to figure 2.1.4).8 Map 2.1.2 Mobile money account ownership varies across economies Adults with a mobile money account (%), 2024 0 100 No data IBRD 48908 | JUNE 2025 8 The only high-income economies in which the Global Findex 2025 asked respondents about mobile money accounts were Panama and Saudi Arabia.","According to the text, fill in the blank: In 2014, just ___ of adults globally had a mobile money account.?",2 percent,Knowledge - Statistics,2 percent,1,1.0,1.0
"In 2014, just 2 percent of adults globally had a mobile money account. As of 2024, that share had increased to 15 percent globally and 18 percent in lowand middle-income economies (refer to figure 2.1.4).8 Map 2.1.2 Mobile money account ownership varies across economies Adults with a mobile money account (%), 2024 0 100 No data IBRD 48908 | JUNE 2025 8 The only high-income economies in which the Global Findex 2025 asked respondents about mobile money accounts were Panama and Saudi Arabia. Source: Global Findex Database 2025.","According to the text, fill in the blank: As of 2024, that share had increased to ___ globally and 18 percent in lowand middle-income economies (refer to figure 2.1.4).8 Map 2.1.2 Mobile money account ownership varies across economies Adults with a mobile money account (%), 2024 0 100 No data IBRD 48908 | JUNE 2025 8 The only high-income economies in which the Global Findex 2025 asked respondents about mobile money accounts were Panama and Saudi Arabia.?",15 percent,Knowledge - Statistics,15,1,1.0,1.0
"Source: Global Findex Database 2025. 92 The Global Findex Database 2025 Figure 2.1.4 Mobile money contributed to the increase overall in account ownership in lowand middle-income economies between 2014 and 2024 Adults with an account (%), 2014–24 Bank or similar financial institution account only Bank or similar financial institution account and mobile money account Mobile money account only 80 30 20 10 0 70 60 50 40 2014 2017 2021 2024 Source: Global Findex Database 2025. Sub-Saharan Africa continues to have the highest rate of mobile money account ownership of any world region, at 40 percent of adults.","True or False: Based on the provided text, 92 The Global Findex Database 2025 Figure 2.1.4 Mobile money contributed to the increase overall in account ownership in lowand middle-income economies between 2014 and 2024 Adults with an account (%), 2014–24 Bank or similar financial institution account only Bank or similar financial institution account and mobile money account Mobile money account only 80 30 20 10 0 70 60 50 40 2014 2017 2021 2024 Source: Global Findex Database 2025.",True,Knowledge - Fact Verification,True,1,,1.0
"92 The Global Findex Database 2025 Figure 2.1.4 Mobile money contributed to the increase overall in account ownership in lowand middle-income economies between 2014 and 2024 Adults with an account (%), 2014–24 Bank or similar financial institution account only Bank or similar financial institution account and mobile money account Mobile money account only 80 30 20 10 0 70 60 50 40 2014 2017 2021 2024 Source: Global Findex Database 2025. Sub-Saharan Africa continues to have the highest rate of mobile money account ownership of any world region, at 40 percent of adults. Sub-Saharan Africa is no longer the only world region enjoying high rates of mobile money account ownership, however.","According to the text, fill in the blank: Sub-Saharan Africa continues to have the highest rate of mobile money account ownership of any world region, at ___ of adults.?",40 percent,Knowledge - Statistics,40 percent,1,1.0,1.0
"Sub-Saharan Africa is no longer the only world region enjoying high rates of mobile money account ownership, however. In Latin America and the Caribbean, 37 percent of adults have a mobile money account (refer to figure 2.1.5). Compared with the rate in 2021, mobile money account ownership had increased by 13 and 15 percentage points in Sub-Saharan Africa and Latin America and the Caribbean, respectively, in 2024.","According to the text, fill in the blank: In Latin America and the Caribbean, ___ of adults have a mobile money account (refer to figure 2.1.5).?",37 percent,Knowledge - Statistics,37 percent,1,1.0,1.0
"In Latin America and the Caribbean, 37 percent of adults have a mobile money account (refer to figure 2.1.5). Compared with the rate in 2021, mobile money account ownership had increased by 13 and 15 percentage points in Sub-Saharan Africa and Latin America and the Caribbean, respectively, in 2024. In South Asia, 22 percent of adults have a mobile money account, a 10 percentage point increase since 2021.","According to the text, fill in the blank: Compared with the rate in 2021, mobile money account ownership had increased by 13 and ___age points in Sub-Saharan Africa and Latin America and the Caribbean, respectively, in 2024.?",15 percent,Knowledge - Statistics,15,1,1.0,1.0
"Compared with the rate in 2021, mobile money account ownership had increased by 13 and 15 percentage points in Sub-Saharan Africa and Latin America and the Caribbean, respectively, in 2024. In South Asia, 22 percent of adults have a mobile money account, a 10 percentage point increase since 2021. Yet Sub-Saharan Africa still stands out for having a large share of adults with only a mobile money account.","According to the text, fill in the blank: In South Asia, ___ of adults have a mobile money account, a 10 percentage point increase since 2021.?",22 percent,Knowledge - Statistics,22,1,1.0,1.0
"In South Asia, 22 percent of adults have a mobile money account, a 10 percentage point increase since 2021. Yet Sub-Saharan Africa still stands out for having a large share of adults with only a mobile money account. A third of the region’s account owners—20 percent of adults— have no other kind of account.","True or False: Based on the provided text, Yet Sub-Saharan Africa still stands out for having a large share of adults with only a mobile money account.",True,Knowledge - Fact Verification,True,1,,1.0
"Yet Sub-Saharan Africa still stands out for having a large share of adults with only a mobile money account. A third of the region’s account owners—20 percent of adults— have no other kind of account. In all other regions, less than 5 percent of all adults and less than 6 percent of account owners have only a mobile money account.","According to the text, fill in the blank: A third of the region’s account owners—___ of adults— have no other kind of account.?",20 percent,Knowledge - Statistics,18,0,0.0,0.0
"A third of the region’s account owners—20 percent of adults— have no other kind of account. In all other regions, less than 5 percent of all adults and less than 6 percent of account owners have only a mobile money account. Notwithstanding mobile money’s growth, accounts at banks or similar financial institutions remain the most common type of account for adults in lowand middleincome economies.","According to the text, fill in the blank: In all other regions, less than ___ of all adults and less than 6 percent of account owners have only a mobile money account.?",5 percent,Knowledge - Statistics,5 percent,1,1.0,1.0
"In all other regions, less than 5 percent of all adults and less than 6 percent of account owners have only a mobile money account. Notwithstanding mobile money’s growth, accounts at banks or similar financial institutions remain the most common type of account for adults in lowand middleincome economies. In that group of countries, 57 percent of adults have only an account at a bank or similar financial institution, and 14 percent have both an account at a bank or similar financial institution and a mobile money account.","True or False: Based on the provided text, Notwithstanding mobile money’s growth, accounts at banks or similar financial institutions remain the most common type of account for adults in lowand middleincome economies.",True,Knowledge - Fact Verification,True,1,,1.0
"Notwithstanding mobile money’s growth, accounts at banks or similar financial institutions remain the most common type of account for adults in lowand middleincome economies. In that group of countries, 57 percent of adults have only an account at a bank or similar financial institution, and 14 percent have both an account at a bank or similar financial institution and a mobile money account. Account ownership 93 Figure 2.1.5 Sub-Saharan Africa remains the region with the largest share of adults with only mobile money accounts Adults with an account (%), 2024 80 30 20 10 0 70 60 90 50 40 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa Bank or similar financial institution account only Bank or similar financial institution account and mobile money account Mobile money account only Source: Global Findex Database 2025.","According to the text, fill in the blank: In that group of countries, ___ of adults have only an account at a bank or similar financial institution, and 14 percent have both an account at a bank or similar financial institution and a mobile money account.?",57 percent,Knowledge - Statistics,57 percent,1,1.0,1.0
"In that group of countries, 57 percent of adults have only an account at a bank or similar financial institution, and 14 percent have both an account at a bank or similar financial institution and a mobile money account. Account ownership 93 Figure 2.1.5 Sub-Saharan Africa remains the region with the largest share of adults with only mobile money accounts Adults with an account (%), 2024 80 30 20 10 0 70 60 90 50 40 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa Bank or similar financial institution account only Bank or similar financial institution account and mobile money account Mobile money account only Source: Global Findex Database 2025. Almost half of adults in lowand middle-income economies have a digitally enabled account A mobile money account is not the only way to use financial services with a mobile phone.","True or False: Based on the provided text, Account ownership 93 Figure 2.1.5 Sub-Saharan Africa remains the region with the largest share of adults with only mobile money accounts Adults with an account (%), 2024 80 30 20 10 0 70 60 90 50 40 East Asia and Pacific Europe and Central Asia Latin America and the Caribbean Middle East and North Africa South Asia Sub-Saharan Africa Bank or similar financial institution account only Bank or similar financial institution account and mobile money account Mobile money account only Source: Global Findex Database 2025.",True,Knowledge - Fact Verification,True,1,,1.0
"Since then, however, mobile money has spread to economies in West Africa and beyond (refer to map 2.1.3). In 2024, average mobile money account ownership in each of the four subregions of Sub-Saharan Africa—Central, East, Southern, and West—was about 40 percent (refer to figure 2.1.7).9 Account ownership 95 Map 2.1.3 Mobile money accounts both grew and spread across Sub-Saharan Africa between 2014 and 2024 Adults with a mobile money account (%) IBRD 48911 | JUNE 2025 a. 2024 IBRD 48912 | JUNE 2025 0 100 No data Not in Sub-Saharan Africa 0 100 No data Not in Sub-Saharan Africa Source: Global Findex Database 2025.","According to the text, fill in the blank: In 2024, average mobile money account ownership in each of the four subregions of Sub-Saharan Africa—Central, East, Southern, and West—was about ___ (refer to figure 2.1.7).9 Account ownership 95 Map 2.1.3 Mobile money accounts both grew and spread across Sub-Saharan Africa between 2014 and 2024 Adults with a mobile money account (%) IBRD 48911 | JUNE 2025 a.?",40 percent,Knowledge - Statistics,40 percent,1,1.0,1.0
